,MBID,#1 Most Used Bpm,Percentage of 1st,#2 Most Used Bpm,Percentage of 2nd,Total # Duplicates
855,db6c7347-34e9-4023-acf4-a1ce6d0f409b,134.0,100.0,Nan,Nan,45
856,dbc0da50-4bc6-4230-9e7b-136b5dc2b31a,125.0,81.8181818182,163.0,6.0606060606060606,33
857,dc7dc185-0f78-4422-841e-0c381826e0f2,110.0,100.0,Nan,Nan,39
858,dc87225b-46bc-4a5d-837f-14e7eb8f2ca2,113.0,81.25,Nan,Nan,32
859,dcd4b3ac-20f0-45a2-911c-ebb1e80dbca5,137.0,77.7777777778,Nan,Nan,36
860,dd2d2073-50c4-438a-91cc-a1fea1c81b12,101.0,93.8461538462,Nan,Nan,65
861,dd2e50c0-e6e5-4566-a47b-daf32cc8c18b,162.0,100.0,Nan,Nan,40
862,dda183c0-8697-49fa-a971-6632e6a8c31c,172.0,97.9591836735,166.0,2.0408163265306123,49
863,de362755-0695-44aa-bcd9-6847ea5e1251,135.0,93.75,Nan,Nan,48
864,de7210fe-bbb3-4c91-80d1-14696dae558a,126.0,78.3783783784,104.0,13.513513513513514,37
865,de896c41-463d-4eaa-8fe4-d826e2afa0f8,124.0,94.0298507463,Nan,Nan,67
866,df434d9d-120d-4c81-afbe-46322745e7c7,172.0,85.7142857143,0.0,3.571428571428571,84
867,df8c94da-f884-4f22-af08-df9d40275d39,155.0,100.0,Nan,Nan,39
868,dfe6dd93-de4d-4259-b0a2-ca9580d60d50,153.0,100.0,Nan,Nan,36
869,e01a20a3-ba28-4f4f-b6fc-f44a16a6c949,138.0,100.0,Nan,Nan,34
870,e0369f9c-b91a-479f-a9ae-021cee2bc1ff,103.0,97.1428571429,107.0,2.857142857142857,35
871,e097e9bc-8263-4e24-a6e6-8fa326b506c3,143.0,100.0,Nan,Nan,34
872,e0986818-9fc0-4a93-be09-77b7a6c9c0dc,126.0,97.2222222222,Nan,Nan,72
873,e135871f-0fed-4683-90e3-ebbe435fbe4e,144.0,100.0,Nan,Nan,40
874,e1687840-0fe3-40c8-9630-73c0df70813c,155.0,100.0,Nan,Nan,40
875,e1b7b099-abe6-4b7f-b06e-2c7cba7ffe7f,139.0,100.0,Nan,Nan,44
876,e1f40fdd-7204-4022-ae93-8fc7c9a93119,120.0,97.1014492754,104.0,1.4492753623188406,69
877,e1fe1d12-dac2-4325-ae1b-25e0ef06b998,124.0,97.0588235294,Nan,Nan,34
878,e21defb3-82b7-481a-a457-63ce2329feaa,120.0,97.3684210526,Nan,Nan,38
879,e21fbc12-8f9d-4c7b-8bfe-d4d6e1bcabbf,155.0,100.0,Nan,Nan,36
880,e2c5d227-90aa-4cc4-b1cc-ba7d412f05fe,119.0,100.0,Nan,Nan,38
881,e33d52b7-2ed6-4889-89f4-7a9e696eac37,172.0,62.5,90.0,34.375,32
882,e3b19d83-1fe3-47ac-91d3-36ce33d53732,131.0,92.5373134328,Nan,Nan,67
883,e3fada81-0718-4807-b249-cf47dbf29a03,167.0,91.3043478261,Nan,Nan,46
884,e4003498-11f2-4a71-b650-f6e8ac42a9f8,155.0,96.875,Nan,Nan,32
885,e42df375-e203-4f9c-8e06-a385634e76c7,91.0,77.5,185.0,20.0,40
886,e492bc5b-469e-497b-903d-64a9713deee0,153.0,72.2222222222,144.0,19.444444444444446,36
887,e4a59629-1abc-4fa4-9deb-760411368273,121.0,95.8333333333,126.0,2.083333333333333,48
888,e6141805-b907-421a-8fb0-93537efb3ce4,110.0,97.0588235294,121.0,2.941176470588235,34
889,e63d278b-d23b-44b4-89a7-14768d14acc3,134.0,100.0,Nan,Nan,41
890,e6c7f0d6-2b44-435c-b321-2fb6bff9a555,111.0,79.4871794872,143.0,7.6923076923076925,39
891,e6d80ec5-85b3-4900-8e52-f83e9bf16852,134.0,100.0,Nan,Nan,39
892,e731a2a1-8e3a-42f6-8dbe-af356714f836,131.0,100.0,Nan,Nan,32
893,e753cdd1-6e64-4879-8a40-c46744a897b7,130.0,100.0,Nan,Nan,33
894,e7840a7d-38e4-4d69-b666-0ee4c92fe832,123.0,100.0,Nan,Nan,46
895,e7b022c5-bce7-4bee-8136-7889af2f4162,78.0,52.0,156.0,24.0,50
896,e832b734-62e9-4eb7-84f8-0951f39e719e,114.0,100.0,Nan,Nan,44
897,e863222f-a1ce-4fbb-bfc1-6cc0c2333451,85.0,86.1111111111,172.0,13.88888888888889,36
898,e90a6932-b238-4cc0-8331-6637469b7a34,100.0,89.5833333333,Nan,Nan,48
899,e95e5009-99b3-42d2-abdd-477967233b08,129.0,100.0,Nan,Nan,53
900,e974e6ae-39c4-461f-8c25-885298d3863b,101.0,78.9473684211,Nan,Nan,38
901,e9759a5a-5efc-4030-8168-f08790ae4ddc,132.0,72.7272727273,Nan,Nan,33
902,e97f805a-ab48-4c52-855e-07049142113d,95.0,100.0,Nan,Nan,37
903,e9d7362a-4022-4027-800b-4f5ab793ff14,84.0,100.0,Nan,Nan,34
904,ea2a5395-0477-4d80-bb89-005d328835a1,116.0,97.3684210526,Nan,Nan,38
905,eb027f97-e23f-4e33-914f-e0ce3b5f9c7d,101.0,88.2352941176,136.0,11.76470588235294,34
906,eb2fbdca-089e-493b-ae03-bb24cdf2b176,162.0,97.0588235294,141.0,2.941176470588235,34
907,eb5550c8-9d31-4270-9dac-1f11566a3805,101.0,70.5882352941,Nan,Nan,51
908,eb5641b3-196d-45ba-9edf-1d37671bd3b8,110.0,97.1428571429,Nan,Nan,35
909,eb612418-2d98-49af-9fdf-64362326632b,109.0,100.0,Nan,Nan,34
910,eb84f4d8-feed-4a07-857d-ccb89031379e,89.0,100.0,Nan,Nan,37
911,ebfcb2ca-1285-4baf-8a9c-b09e737926d8,78.0,100.0,Nan,Nan,39
912,ec8c8256-6a29-4dc2-afe8-8a6efae40b49,107.0,100.0,Nan,Nan,77
913,ecfdf71b-934f-40b9-b114-631e63f4fffc,147.0,75.6756756757,129.0,16.216216216216218,37
914,ed574fad-7f59-4e05-8c24-d1138a0d872c,123.0,85.2941176471,162.0,14.705882352941178,34
915,ed7a45e1-fabb-4a83-a5c1-f68cf4711823,108.0,100.0,Nan,Nan,33
916,ed8d1b3b-8757-447a-baba-3efe027f2765,151.0,97.2972972973,Nan,Nan,37
917,edefed39-8601-4a3e-a3c7-736447446557,100.0,96.2025316456,Nan,Nan,79
918,edf5afb6-7c9b-403d-aad9-6e5323711cc9,139.0,97.0588235294,Nan,Nan,34
919,ee801ae1-001f-4b9e-9ebc-b2d03b8bf672,165.0,97.5,Nan,Nan,40
920,ee898790-133f-445a-874f-d996abd843af,141.0,78.7878787879,Nan,Nan,33
921,ef2d05cf-062b-49a1-85db-1f12868ad724,164.0,80.9160305344,85.0,9.923664122137405,131
922,ef47f67b-e87d-4eae-9228-afe02ae05199,126.0,100.0,Nan,Nan,33
923,ef56b0eb-a659-454b-a34d-bf6bdaf5f5e2,140.0,100.0,Nan,Nan,36
924,ef71afb6-5e51-41df-999b-9e7c7306063a,131.0,62.8571428571,Nan,Nan,35
925,ef82bf7c-dd8b-4bac-85a8-2211376dc3b4,93.0,95.2380952381,Nan,Nan,42
926,efe365d3-a1d8-42dc-a63d-0b4cc6ecfaed,156.0,94.1176470588,Nan,Nan,34
927,eff36e5e-5abb-4f7e-a0aa-64c154c5b28d,112.0,100.0,Nan,Nan,38
928,f032b973-c82b-4080-af44-2363950fbcf7,132.0,98.0,Nan,Nan,50
929,f0a89f78-8366-4a85-8cde-df4bda71f00a,101.0,56.4102564103,67.0,41.02564102564102,39
930,f0fb5510-32d0-4276-9072-5a208b07d4e8,133.0,100.0,Nan,Nan,33
931,f16412c7-6f8a-47f7-a41f-894b4194181b,155.0,94.7368421053,Nan,Nan,38
932,f16627cc-e681-45e7-b82a-b64a60f48f99,150.0,100.0,Nan,Nan,36
933,f171431e-2e3f-4898-a6e3-7062920c4e21,101.0,100.0,Nan,Nan,56
934,f18b8945-9784-417a-bb43-53508b73d612,108.0,85.2941176471,163.0,14.705882352941178,34
935,f1a6a40f-78f5-4918-968d-f64363bae94c,129.0,100.0,Nan,Nan,36
936,f1f88b8a-82a9-4010-bfdb-30b59fe88fc2,123.0,100.0,Nan,Nan,43
937,f28d2ee6-4705-4a28-8bd2-8ce1b16b89a8,126.0,100.0,Nan,Nan,35
938,f2ada1c9-fa39-4d15-aa11-9bd798a885a9,97.0,100.0,Nan,Nan,34
939,f2c2fbbd-a7a9-4cc9-840a-a527cd413528,126.0,96.1538461538,Nan,Nan,52
940,f2cf4090-2f14-419a-91ac-734193f2b5f3,142.0,100.0,Nan,Nan,34
941,f2f99a81-9375-4557-8138-2a0a297f5c85,126.0,85.0,129.0,5.0,60
942,f2fbbc03-7dbd-4bca-8019-500b8d954eb6,149.0,97.0588235294,Nan,Nan,34
943,f30831a3-a9de-41ba-86c8-f1cad625b305,103.0,100.0,Nan,Nan,43
944,f32c1b56-a41a-4d00-9ccf-2f380380b39c,133.0,100.0,Nan,Nan,42
945,f37a8a74-e7e7-4774-8b4b-7640f134b48e,107.0,100.0,Nan,Nan,37
946,f3bba4cd-8018-468b-902e-bc8f029593e5,133.0,97.0588235294,Nan,Nan,34
947,f3fb6ec6-46b2-412d-9ab3-956c1a5cf89f,154.0,74.4186046512,77.0,25.581395348837212,43
948,f401a492-38ed-4117-a294-2cedc7ab5189,110.0,100.0,Nan,Nan,32
949,f41516df-d19b-428f-9948-898a9def3c04,105.0,100.0,Nan,Nan,32
950,f4467064-33eb-41f5-ab22-cdd18f326ba5,128.0,100.0,Nan,Nan,32
